y	x1	x2	x3
-0.4812	-0.3538	0.3551	-0.2218
-0.3431	-0.2753	0.046	-0.0928
0.0911	-0.0561	0.471	-0.3883
-0.0388	-0.1463	0.1507	0.3198
0.3427	0.2441	-0.2544	0.4724
0.062	-0.0272	0.0197	0.3506
0.3621	0.1449	-0.3854	0.3159
0.7097	0.4333	0.4322	-0.3614
0.029	-0.0041	0.0165	-0.4772
0.5378	0.3943	-0.2013	0.302
0.0735	-0.0426	-0.4908	-0.4485
0.1195	0.2838	-0.3651	-0.3929
0.3919	0.1399	0.4514	0.2099
-0.1326	-0.2642	0.3393	-0.4366
0.0106	-0.091	-0.0676	0.1691
-0.3294	-0.4233	-0.454	0.0645
0.4651	0.3997	-0.1328	-0.2237
0.2653	0.3154	0.0752	0.1183
-0.2344	-0.2856	0.4893	0.3355
-0.1723	-0.4558	-0.161	-0.002
0.5743	0.4805	0.3469	0.437
-0.336	-0.2225	0.0021	-0.4191
-0.1381	-0.2214	-0.3357	0.2512
-0.3141	-0.3752	-0.1116	0.3811
-0.2784	-0.1221	-0.0879	0.0691
-0.5196	-0.4157	0.2565	-0.4554
0.1839	-0.253	0.4932	0.0797
-0.3875	-0.3844	0.0663	-0.1739
-0.0346	0.0263	0.0918	-0.0262
-0.3132	-0.4469	-0.076	-0.1142
-0.0861	-0.0728	0.0845	-0.3481
0.4705	0.4923	-0.0863	-0.3549
0.2161	0.0672	0.0738	0.454
-0.336	-0.3046	0.2795	-0.0183
-0.4738	-0.498	-0.2687	-0.2851
0.0555	-0.1685	-0.4922	0.0459
-0.1798	-0.4439	-0.3253	0.4819
0.6298	0.4458	0.2859	0.4352
0.4622	0.4709	-0.212	-0.2031
-0.2499	-0.2384	-0.2817	0.2039
0.3547	0.2561	-0.4339	-0.4176
-0.3603	-0.4403	-0.1253	0.4323
-0.1805	-0.1861	-0.1624	-0.3353
0.3876	0.072	-0.1491	0.2831
-0.2568	-0.0747	-0.0242	-0.3631
0.4406	0.3427	-0.2473	0.3238
0.5711	0.4008	0.1391	0.2054
0.1777	0.2501	0.0791	-0.0125
-0.3757	-0.4539	0.2333	0.4626
-0.2196	-0.2131	-0.1056	-0.212
0.0527	0.3402	-0.0811	0.0647
-0.1652	-0.0663	0.3751	-0.1048
0.2048	0.1236	0.0096	0.2315
0.2682	0.0652	0.0918	0.4161
0.344	0.2309	-0.3752	-0.1045
0.5858	0.2966	0.2853	-0.1013
0.5424	0.411	0.2302	-0.3045
0.0345	-0.004	-0.0073	0.319
-0.3441	-0.4454	-0.3941	-0.0686
-0.2911	-0.1972	0.469	-0.4723
0.4306	0.3739	0.4715	0.0768
-0.2522	-0.3785	0.01	0.4448
-0.3926	-0.3773	0.385	-0.3578
0.4493	0.3855	0.2688	-0.2945
0.0525	0.0101	-0.2885	-0.4876
-0.2749	-0.2413	0.1255	0.1979
0.4934	0.3766	0.2146	0.0541
-0.4701	-0.458	0.044	-0.4654
-0.1148	-0.0934	0.1211	0.09
-0.2249	-0.2607	-0.0036	-0.1066
0.0862	0.1664	-0.3382	0.2736
-0.2484	-0.1608	-0.2336	0.0443
0.418	0.2656	-0.2444	-0.035
0.1883	0.1896	0.3011	-0.0533
0.0194	-0.1087	-0.3284	-0.151
0.378	0.3302	-0.1268	-0.3826
-0.287	-0.2469	0.4362	-0.2895
-0.2736	-0.3841	0.4534	0.3731
0.0409	-0.1117	-0.4969	-0.2096
0.41	0.0028	0.4917	0.3951
0.3125	0.2541	0.1503	-0.2245
-0.0836	-0.0881	-0.3704	0.0236
-0.1948	-0.4099	-0.2894	0.0698
0.4656	0.2415	0.4163	-0.3195
0.6498	0.4565	-0.3302	0.368
0.2372	0.0186	-0.4887	-0.3257
0.1855	0.3971	0.1985	-0.4426
0.1273	-0.094	-0.3995	0.0184
0.1747	-0.0117	0.3601	0.0257
0.0428	-0.0879	-0.371	0.0954
0.4332	0.3311	-0.1675	-0.3375
0.0204	-0.0676	-0.2844	0.1546
0.4656	0.1214	-0.478	-0.0075
0.0599	-0.4065	0.4042	-0.068
0.0936	0.1783	0.1334	0.0539
0.0966	-0.0176	-0.3316	0.0551
0.2472	0.1364	-0.4832	0.2499
0.4954	0.2517	-0.4645	-0.1315
-0.44	-0.4544	0.0809	-0.0106
0.0803	-0.0118	0.1701	0.1997
0.4289	0.4139	-0.3425	0.0577
-0.3813	-0.3342	0.0542	0.2545
-0.4137	-0.495	-0.174	0.3905
0.273	0.1249	-0.451	0.1675
-0.4098	-0.3675	-0.1801	-0.4976
-0.2355	-0.1521	-0.094	-0.2247
0.2314	0.1324	-0.1748	0.0107
-0.1091	-0.118	0.0259	0.0453
-0.3132	-0.4051	0.3283	0.1668
0.4807	0.1694	0.4195	0.455
-0.1841	-0.1126	0.1687	0.265
0.0142	0.0086	0.3765	0.4272
0.496	0.161	-0.4853	0.0937
-0.1519	-0.2078	0.3698	-0.3108
-0.1429	-0.1962	-0.0662	-0.1969
0.262	0.0927	0.3273	0.3186
0.1084	0.1365	-0.1471	-0.3595
0.1185	0.0297	-0.0875	0.2539
0.2221	0.2263	-0.062	-0.0302
-0.0474	0.0395	-0.0183	0.2166
0.1824	0.1248	-0.0196	0.3216
0.4512	0.3691	0.054	0.4076
-0.1751	-0.3516	0.1431	0.3667
-0.0249	-0.2683	-0.2546	0.1604
0.3808	0.3007	0.1939	0.0262
-0.1419	-0.3606	0.3116	-0.2208
0.5742	0.3428	-0.2792	0.2384
0.0174	-0.0795	0.0069	0.1371
-0.1811	-0.2619	-0.3851	0.1941
-0.0689	-0.323	0.3062	0.0489
-0.2682	-0.2186	-0.1347	0.4447
0.488	0.286	-0.2698	0.4028
-0.0607	0.0278	0.2436	-0.4775
0.3428	0.1489	0.4566	-0.1237
-0.2324	-0.2263	-0.1669	-0.1807
-0.0801	-0.3022	0.1201	0.3645
0.2865	0.3993	-0.1833	0.1962
-0.3063	-0.4492	0.2294	0.3999
-0.042	-0.1012	-0.3471	-0.1758
0.2177	0.2812	0.3536	0.0927
0.3283	0.3657	0.2786	0.1674
-0.2522	-0.2239	-0.1029	-0.2678
0.2213	0.3236	0.003	-0.1908
-0.4964	-0.3396	0.0002	-0.3758
0.3402	0.1696	-0.2193	0.344
-0.0357	-0.2164	0.3342	0.4056
-0.2767	-0.4252	-0.0353	0.2816
-0.3032	-0.3785	-0.2739	0.379
0.4092	0.2261	-0.2327	0.4597
-0.4415	-0.4905	0.1235	0.2571
0.0646	-0.0614	-0.1994	-0.2177
0.4263	0.3385	0.0842	0.4156
-0.1041	-0.1529	0.009	0.1647
0.5934	0.4015	-0.3338	0.1261
-0.2245	-0.3162	-0.4041	-0.4935
0.25	0.008	-0.4313	0.0531
0.5389	0.4238	-0.4543	-0.415
0.1984	0.1402	-0.3905	-0.4965
0.0145	-0.0744	-0.2563	-0.3466
-0.0525	-0.0831	0.1504	0.332
-0.1246	-0.1769	0.2542	-0.2513
0.5019	0.2253	-0.4894	0.2821
0.3787	0.2966	-0.396	-0.4333
0.0456	0.0407	0.1062	-0.1398
-0.3305	-0.3943	0.0797	-0.3923
-0.1835	-0.3046	0.3594	-0.4358
0.8102	0.472	-0.4042	0.2324
-0.1472	-0.3771	-0.4187	0.0403
0.5588	0.4481	-0.489	0.2629
-0.6952	-0.4939	-0.3366	-0.4658
-0.0407	-0.0481	0.37	0.1484
0.051	-0.1302	0.4173	0.0568
-0.5753	-0.4356	0.0685	-0.4653
-0.0459	-0.0023	0.243	0.4103
0.5208	0.4334	0.0455	0.2183
0.2117	0.0721	0.4689	0.1505
0.0453	0.0671	0.0182	-0.3239
0.3002	0.2586	-0.3141	0.0721
-0.4398	-0.4307	-0.1063	-0.1766
-0.294	-0.3343	0.2387	-0.4619
0.0749	0.0781	0.2893	0.3146
-0.1562	-0.1513	0.307	0.3842
0.137	0.1975	-0.3126	-0.3219
0.5469	0.2489	0.4898	0.41
0.1214	0.157	-0.1777	-0.3074
-0.3047	-0.3464	0.1805	0.4302
0.7218	0.179	0.4683	0.3003
-0.347	-0.3943	0.3411	-0.3647
0.3115	0.1467	0.3126	0.446
0.255	0.3385	0.1019	-0.4987
-0.3833	-0.3086	0.2121	-0.0503
-0.2548	-0.3837	-0.4375	-0.1657
-0.2658	-0.3078	0.2109	-0.4008
-0.1417	-0.2898	0.0018	-0.3182
-0.0304	-0.0837	0.1386	0.0345
-0.1399	-0.337	0.3173	0.0364
-0.3166	-0.305	-0.1485	-0.1073
0.1238	-0.0862	0.2732	0.1279
0.1792	0.2952	-0.0399	-0.0373
-0.2864	-0.3395	-0.3262	0.1605
0.2423	0.0566	0.4906	-0.3159
0.4079	0.34	-0.139	0.0298
-0.1622	-0.4249	0.4308	0.3415
0.1555	0.2164	-0.097	-0.3001
0.003	0.1564	-0.0556	-0.4505
0.2583	0.1414	0.0059	0.3098
0.1665	-0.0596	0.3149	0.4168
0.5752	0.2578	0.3699	0.3238
0.3888	0.0627	0.3612	0.4343
-0.2021	-0.1871	-0.1659	-0.4823
-0.037	-0.2754	0.3123	0.1988
0.4913	0.2744	-0.2824	0.4255
0.2584	0.327	0.2232	-0.0191
0.3408	0.1685	-0.3581	-0.1421
0.5661	0.3794	-0.0896	-0.1746
-0.2745	-0.3321	0.3593	-0.0912
0.0854	0.1443	0.0034	0.3276
-0.0014	-0.0197	0.0397	0.4892
0.0227	-0.0826	-0.2231	0.3816
-0.0295	-0.0192	-0.209	0.2016
-0.1802	-0.2423	0.1862	-0.3156
0.3191	0.4419	-0.0617	0.3017
-0.1066	-0.3706	0.4641	-0.0838
-0.0572	-0.1767	0.0024	0.0918
0.2589	0.1774	-0.3624	-0.1924
-0.2552	-0.2954	-0.1307	-0.3263
-0.1508	-0.2704	-0.17	-0.1736
-0.4663	-0.437	-0.3987	-0.3371
-0.0718	-0.1836	0.1228	0.3244
-0.0819	-0.0503	-0.3132	0.3442
0.2831	0.1929	-0.0084	0.3708
0.3279	0.4339	-0.1251	-0.4766
0.2799	0.0034	-0.456	0.138
